N,R,E
288,23.12287996195895,10.86304499150609
289,20.2458196329681,11.16323677358931
290,21.95931914096235,11.011184581779483
291,21.82268802630164,11.804151396003785
292,21.372654725447198,11.26861687549487
293,20.737850976052854,11.252153227892599
294,21.25358634518506,11.158311617016295
295,21.603457876262784,13.090206792347667
296,21.479714451867615,11.04663232559552
297,21.32728503698871,11.64510120525141
298,22.81636247091803,12.19785799358396
299,21.550653423459597,9.174695111672568
300,22.57720225932307,12.227536036464318
301,21.916660500202095,9.900837966761703
302,22.935862030848202,12.145192268174046
303,22.62980731932496,11.97249927530291
304,21.71322072060303,12.78207363449918
305,19.912632570402547,11.624626220111557
306,20.326023795812784,10.727594521539904
307,21.0950643131358,11.678965889192032
308,23.133694220941756,12.981545116390638
309,22.644048626293095,11.774953606200517
310,23.44950855186252,11.383398181689317
311,23.40974664778459,11.697589474135413
312,23.980824878895586,11.299081312612095
313,23.455608656586758,12.476488559468278
314,21.069413557420386,10.777783189035395
315,22.74610382170623,11.674369727804702
316,22.902824184583288,11.549686178150791
317,21.619884726193238,11.427877767563732
318,22.594066696735847,12.231239986382677
319,22.653349893755642,10.112566240919863
320,23.544855632706852,12.248108873101279
321,23.760583080977014,12.557031439337436
322,21.234389168355786,10.323358165504215
323,22.631196349433466,11.86917188818678
324,21.767024787969017,11.90540205951659
325,22.779528507993824,11.682209198735988
326,20.660706728651814,10.364677971233265
327,21.478685652954372,11.127565917476645
328,25.10428955343528,14.25245215664494
329,22.60606590141287,11.809548776544691
330,24.7027914908971,12.20695758503463
331,22.030867790491506,11.644624212135952
332,23.894670827815162,13.673885808016049
333,24.35960899575341,11.909892697658938
334,25.944074110851354,13.593162572262539
335,24.98338651074998,14.299604974929228
336,25.75595406233523,12.538625867385395
337,23.653490376112646,13.74509064929795
338,24.567918807803128,12.40731796593145
339,24.210163868520382,11.273714787681305
340,22.99213480840967,11.952211273293141
341,24.065297154909445,14.088296120339267
342,22.633441497583775,12.046767169461159
343,22.515138587667863,11.64857157431291
344,24.44614627483029,12.565420471782751
345,25.406410322924636,12.414083036947204
346,22.16741183237239,11.321303422333337
347,25.285786252440115,13.021724299487742
348,24.798930128874936,11.369397306269613
349,22.19591643952059,12.708450194414652
350,24.216269427651458,13.70138744644013
351,22.962900890272767,12.40976367746563
352,23.98913515779496,13.359888035640727
353,23.208197573209837,12.72805409545723
354,26.645219391632967,12.121576069450041
355,24.320224773565563,11.339397410483523
356,23.153606621294777,11.642577267538233
357,23.395681853965627,11.067903653985413
358,23.713941313956834,11.776479831927423
359,24.179368065841814,14.052819700541047
360,22.408542531959935,11.392795697688786
361,25.056130399126538,12.088102941164367
362,22.472677522981474,13.136535030119777
363,23.92235633870814,11.713585099187574
364,25.835201330269804,13.2630236351546
365,21.42063258546473,11.430575866285645
366,23.274656395610837,11.45396321641178
367,22.32377544929402,11.568731139861134
368,21.705845743718204,10.978379805572839
369,25.825761218282906,13.369007370451893
370,22.592027561346768,12.027314478886026
371,23.135220560424067,12.537112319698537
372,24.966116014901623,13.181804946280213
373,26.282183566669467,13.14645561501534
374,25.314287395115677,11.804182403464566
375,24.641474546709293,12.925003268298106
376,22.38958877936161,11.55999037343871
377,26.02183785426998,12.112084636136872
378,23.477949332573402,12.598958452526436
379,24.021014475976376,13.9108149358829
380,24.356410981969077,13.235289816176687
381,22.963108893944632,11.931160305020182
382,23.164626785580886,14.867887090760275
383,22.99166716346623,11.922544755832652
384,25.854417038157113,12.671409188137748
385,23.100659178191144,12.240634827834043
386,22.264467142422365,12.282362879048755
387,22.080025111697193,11.754455154429303
388,23.655158310466422,12.776455696312615
389,24.90437051441449,12.805469635025874
390,24.06445221016992,11.584954088070116
391,25.570228767021103,11.01067821754085
392,21.579131107549447,11.61225695761266
393,22.437540088397775,11.807301246659128
394,25.98677995971797,13.64016642121541
395,27.074418110389047,12.146425104683106
396,22.896746460257024,12.617305241217496
397,26.455861211411687,12.465082496243168
398,25.267643192756704,12.10213491737599
399,24.9152196588085,13.381858901021774
400,25.904004311382625,13.727067649073096
401,24.215676155808552,13.802428721068447
402,26.163500030589834,14.045852726367986
403,24.94760975515829,13.012414655988112
404,24.580693589828037,13.647981450361687
405,23.448782608126287,14.198103399355933
406,26.652762270855,13.86241558916126
407,25.255129745201145,12.988079371815793
408,26.207672253990715,13.889186231658039
409,23.7298258505874,12.508969531971923
410,25.86528007821684,14.28975714769684
411,25.77777816050023,13.155653333799798
412,27.360784353701106,13.91838188676282
413,26.142426680450992,12.954893381646045
414,24.84824057383542,11.416242367287374
415,23.901925395648078,12.618832830522887
416,27.679595481069523,16.057969795226267
417,26.29251738755403,12.809393612479111
418,25.45748588080132,13.275374825408493
419,24.57707673960679,14.96318722481389
420,26.25811715700394,13.448285994978908
421,27.51152660317683,13.134575097897935
422,25.08305997811036,12.84011305074311
423,24.514357128115588,13.5855348640074
424,23.88152276714679,13.168507851137576
425,25.31069770243421,14.512486610989566
426,26.0459861137391,12.961584526458907
427,26.822530966276236,14.313886645100416
428,27.274958934508568,13.994190983121529
429,24.581782144103858,13.332042097368841
430,27.468868625719836,13.229356333063746
431,26.01776975769884,12.435289035793476
432,27.79042175376174,16.297526908568877
433,25.165620184798968,11.539864657853801
434,26.168060813271072,13.410627099642895
435,26.650139607976737,13.834657909182395
436,28.63913080226741,14.839750293031358
437,24.732228984478848,13.72333844055073
438,27.373281838550508,12.279677349228429
439,26.54191323368574,13.940305244665657
440,25.73539123026591,13.533903154944031
441,26.803028461153254,14.903142016491515
442,26.98551617473451,15.072482740111983
443,27.644602651188503,15.609731057916425
444,27.424150917213865,13.810688105035778
445,25.64310054939216,13.040924359718572
446,26.685929167900607,13.137724167078918
447,25.283453496608296,12.467736325319613
448,26.317706182753412,14.493865070816875
449,27.23951837143576,13.149856473784642
450,25.75902959128064,12.787381219807422
451,27.095004531365202,13.981750131501853
452,28.178496098087823,13.087860070559653
453,25.142878517895333,13.102824750133115
454,26.3866421832967,13.442565433486786
455,27.95939473625974,14.229018534032182
456,24.802302197626084,12.077841850041281
457,27.156368522300845,14.51781544061632
458,24.27351473749238,13.929983744126465
459,27.602516282981746,13.89000020864668
460,26.141054645581093,13.280501294639091
461,24.65668611080466,14.225973018868869
462,26.73740371033347,15.014737935074074
463,26.097980762456427,13.022071806117443
464,28.710764154892132,14.822582158941895
465,27.707599056162252,15.149318271407008
466,26.4077569069375,12.931228823879641
467,26.440782104851735,13.450051750851733
468,28.45938138490272,14.980128414020326
469,25.924118450941418,14.385738888460834
470,25.432808283653326,12.237809666562233
471,25.422552953950312,14.91981029760862
472,28.66544642758312,14.200531782945166
473,28.474691827078328,14.339241423675382
474,27.104685467679793,15.24497904082289
475,25.652248484082964,12.43027631181109
476,28.75656974590577,16.513942394635674
477,28.157636157508062,12.769847347623564
478,24.71070075080395,11.472361617742846
479,27.13704031698323,15.370974375841334
480,28.380364022633007,12.642803776151338
481,28.883670574014584,15.024011112666352
482,27.770947415004294,15.51135791830609
483,26.170911558687166,16.172947228914346
484,25.013606175206167,12.615970084492306
485,26.018676526564427,13.965269654541775
486,28.26537401079458,15.047900795466365
487,28.203121487453473,14.989322124351707
488,27.700561572549113,15.498570174408655
489,29.204320646430176,14.983615456100612
490,27.27554439235423,12.928461814219077
491,26.839388803495524,15.48075194366692
492,28.566095651405142,14.144891693721796
493,28.807158652480407,17.13881811778547
494,26.60789482537147,12.517193467051223
495,27.40084592940591,14.297397622521698
496,24.786763520149186,12.863612157483743
497,26.646624633002148,15.070068666882774
498,28.529635551400514,15.053255271113503
499,26.458882944065678,13.917499361801767
