N,R,E
253,14.002779587735832,7.2041020246180585
254,14.34844147633258,7.560314109047269
255,13.671261158713156,7.146377750202636
256,14.260389292331036,7.307252460973381
257,14.049914829700056,7.147551550807635
258,14.242627388468458,7.3821888785319905
259,14.204520792022215,7.503787087736272
260,14.058981090143405,7.473646750930708
261,14.224567873605508,7.666572276969627
262,14.33164390114245,7.495104207009884
263,14.120384233463207,7.338689518467383
264,14.38263559089759,7.808004434739097
265,14.087149846428503,7.560076812670206
266,14.314735612886595,7.41737370485601
267,13.82887706751418,7.575745587771017
268,14.462801117797502,7.582361849111552
269,14.61614852532927,7.659998073615978
270,14.385050534853482,7.625312546435148
271,14.34223488858838,7.706075440777806
272,15.12323524261356,7.999565210207846
273,14.936510392366396,7.477603757623787
274,14.633358705367783,7.654324125161998
275,14.433144462867446,7.336554044980026
276,14.956599446447207,7.661620790115733
277,14.84833125473578,7.545832360222838
278,15.040302397929565,8.066417611468738
279,14.801761328452518,8.11996117214258
280,14.974987974128368,7.510225356797587
281,14.847081992987663,7.78053471490199
282,15.238524105990345,7.910194084485051
283,14.770269790848443,7.741444919125589
284,14.779232098790459,7.8983462109894775
285,14.338943823997623,7.574304238823039
286,14.635267797566664,8.064164273500491
287,15.228422183109975,7.740817332218672
288,15.066599267980312,7.665284344666754
289,15.376573620660091,7.8923725629311665
290,15.635325823554085,8.187436899158007
291,15.293414916485851,7.820394596975288
292,15.311519801894113,8.016415577897684
293,15.201911421792746,7.957624709239011
294,15.004954992286994,7.876939570995901
295,15.505308091799622,7.625615148914321
296,15.066422887062892,7.987984995577776
297,15.092961892468452,7.791001464112788
298,15.336717737986296,8.097028721349693
299,15.093137899097586,7.83979499395124
300,15.41142727644212,8.360167295708784
301,15.377644638287746,8.07320094039029
302,14.949873822852163,7.601827014177607
303,15.1947773506663,8.160934995755209
304,15.354722837136412,8.256798355374574
305,15.925792527769074,8.100895104543518
306,15.427967277626152,8.340491802416519
307,15.88541912198259,7.926797132402775
308,15.062868541516465,8.06331825567456
309,15.623730917579604,8.08603309709293
310,15.446020401184548,7.783564364733994
311,15.643106735921206,8.249454822000372
312,15.79165202884541,8.123567561488148
313,15.71041638158763,8.106848952229234
314,15.464935707002043,7.944092103058192
315,15.363924423160901,8.07977574847962
316,16.026974685801257,8.302482671051253
317,16.02045754223101,8.750159145850496
318,15.813863588779878,8.383414585588469
319,16.151753114142373,8.412193067870703
320,16.36252310632883,8.098648370712857
321,15.778806664487085,8.49854631716405
322,15.950600949512808,8.177157677258675
323,16.548135215973506,8.410848952081553
324,15.608690954357993,8.166586524248324
325,16.050140461964148,8.58396086561283
326,16.23115095903359,8.481644196947192
327,15.668367350173186,8.348518841363832
328,16.083487192842718,8.336711651327636
329,15.92655804367864,8.227277412985206
330,16.24752037216906,8.57788434508809
331,15.950963536238323,8.512422042395515
332,16.135322567903625,8.394820843551676
333,15.898811596948567,8.255181257521755
334,16.506684170025178,8.401006314052575
335,16.342334740807292,8.267407290960232
336,16.286310537778107,8.513568297495757
337,16.021899094981286,8.715448820320619
338,15.750557180640921,8.41069964080635
339,16.496077444411764,8.664658583978797
340,16.692722958195613,8.501902918827641
341,16.368259108698265,8.633491405235013
342,15.816701839145091,8.499163186721143
343,16.134481142260555,8.599720738972204
344,15.68953358523702,8.341964661492955
345,16.455434738289377,8.894542497592168
346,16.7645958013161,8.654667870352565
347,16.199602899742693,8.345264450964919
348,16.070678808225157,8.208106719914507
349,16.696995788171883,8.337897935416343
350,16.5144905876288,8.741560057092263
351,17.06608671988445,8.773279475398754
352,16.386578326995593,8.775393483142029
353,17.08998075912393,8.873640189371361
354,16.94804853712843,8.915291045945839
355,16.594916602799206,8.499314777620922
356,16.739334062975566,8.757881583078984
357,17.056714794505538,8.74680220991162
358,16.83221175710347,8.833534061257238
359,17.05046778693675,8.85798113538739
360,16.510184797089032,8.705929689811201
361,17.0508942860916,8.759752910246576
362,16.75527822683657,8.90606041933456
363,16.891069110688758,8.752341177207049
364,16.777372116494092,8.693003200824855
365,16.87865218624751,8.672439764913783
366,17.323049303419,9.107682185613733
367,16.801844467824534,9.051890437997644
368,16.637258359818244,8.993710908347376
369,16.7616675460231,8.731239750325981
370,17.378858819062902,8.796433448462317
371,17.348296064624424,8.683585680914929
